domain;name;ticker;involvement.Alcoholic Beverages;involvement.Adult Entertainment;involvement.Gambling;involvement.Tobacco Products;involvement.Animal Testing;involvement.Fur and Specialty Leather;involvement.Controversial Weapons;involvement.Small Arms;involvement.Catholic Values;involvement.GMO;involvement.Military Contracting;involvement.Pesticides;involvement.Thermal Coal;involvement.Palm Oil;employees;industry;sector;altman_score;piotroski_score;Controversies.Environment;Controversies.Social;Controversies.Customers;Controversies.Human Rights & Community;Controversies.Labor Rights & Supply Chain;Controversies.Governance;Decarbonization Target.Target Year;Decarbonization Target.Comprehensiveness;Decarbonization Target.Ambition p.a.;Decarbonization Target.Decarbonization Target;Decarbonization Target.Decarbonization Target on Temperature Rise;Temperature Goal;sdg.No Poverty;sdg.No Hunger;sdg.Good Health and Well-Being;sdg.Quality Education;sdg.Gender Equality;sdg.Clean Water and Sanitation;sdg.Affordable and Clean Energy;sdg.Decent Work and Economic Growth;sdg.Industry, Innovation and Infrastructure;sdg.Reduced Inequalities;sdg.Sustainable Cities and Communities;sdg.Responsible Consumption and Production;sdg.Climate Action;sdg.Life under Water;sdg.Life on Land;sdg.Peace, Justice and Strong Institutions;sdg.Partnerships for the Goals;esg;involvement_msci.Controversial Weapons;involvement_msci.Gambling;involvement_msci.Tobacco Products;involvement_msci.Alcoholic Beverages;Controversies.Supply Chain Labor Standards;Controversies;Decarbonization Target;sdg;Controversies.Collective Bargaining & Union;Controversies.Health & Safety;Controversies.Discrimination & Workforce Diversity;Controversies.Labor Management Relations;involvement;involvement_msci;Controversies.Anticompetitive Practices;Controversies.Privacy & Data Security;Controversies.Bribery & Fraud;Controversies.Governance Structures;Controversies.Customer Relations;Controversies.Product Safety & Quality;Controversies.Human Rights Concerns;Controversies.Energy & Climate Change;Controversies.Toxic Emissions & Waste;Controversies.Impact on Local Communities;Controversies.Biodiversity & Land Use;Controversies.Other;Controversies.Marketing & Advertising;Controversies.Civil Liberties;Controversies.Operational Waste (Non-Hazardous);Controversies.Supply Chain Management;Controversies.Water Stress;Controversies.Child Labor;Controversies.Controversial Investments
ubigroup.org;UBi;UBI;;;;;;;;;;;;;;;null;;;null;null;No;No;No;No;No;No;;;;;;null;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;15.6;;;;;No;;null;;No;No;No;No;null;;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
sparc.org;SPARC;SPRC;;;;;;;;;;;;;;;3;;;-4.83;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;30.5;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
microchipindia.com;Microchip Technology;MCHP;;;;;;;;;;;;;;;22600;;;5.03;7;Green;Yellow;Green;Green;Yellow;Green;2040;100.0%;-5.56%;Yes;Yes;2.5;No;No;No;No;No;No;Aligned;No;Aligned;No;No;No;No;No;No;No;No;29.8;No;No;No;No;;;;;;;;Yellow;null;;;;;;;;;;;;;;;;;;;;
coty.com;Coty;COTY;;;;;;;;;;;;;;;11350;;;0.86;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
nationaltrust.org.uk;National Trust;NSA;;;;;;;;;;;;;;;1108;;;null;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;19.7;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
prada.com;Prada;PRDSY;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bebo.com;Bebo;MLBBO;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
nsbgroup.com;NSB;NSB;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bajajauto.com;Bajaj Auto;BAJA;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Yellow;;;;;;2.2;Aligned;No;No;No;No;No;No;Aligned;Aligned;No;No;No;No;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;Yellow;;;;;;;;;;;;;;;;
axiata.com;Axiata;PTXKY;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
missionfoods.com;GRUMA;GPAGF;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ashland.com;Ashland;ASH;;;;;;;;;;;;;;;3800;;;null;6;Yellow;Yellow;Green;Yellow;Yellow;Green;2050;33.63%;-0.44%;Yes;Yes;1.3;No;No;No;No;Aligned;Aligned;No;No;No;Aligned;No;No;Aligned;No;No;No;Aligned;;No;No;No;No;;;;;;Yellow;;;null;;;;;;;;Yellow;;;Yellow;Yellow;;;;;;;;
admiral-usa.com;Admiral Group plc;ADML;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
foxitsoftware.com;Foxit Software;688095;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
demdex.com;Demdex;DEMEX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
glenbradford.com;ARM Holdings;ARM;;;;;;;;;;;;;;;5963;;;null;1;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bloomenergy.com;Bloom Energy;BE;;;;;;;;;;;;;;;2377;;;-0.5;2;Green;Green;Green;Green;Green;Green;2030;100.0%;-1.45%;Yes;Yes;1.7;No;No;No;No;Aligned;No;Aligned;No;No;No;No;No;Aligned;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
vaiotechnologies.com;VAIO;VAIO/USD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
cds-global.com;CDS Global;0P000070CZ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
rank.com;Rank;RNK;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;21.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
asos.com;ASOS;ASOS;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
vistaprint.com;VistaPrint;CMPR;;;;;;;;;;;;;;;16000;;;2.87;8;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;7.8;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
impgroup.com;IMP Group;IPX;;;;;;;;;;;;;;;28;;;null;1;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;23.6;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
wyndhamworldwide.com;Wyndham Worldwide;TNL;;;;;;;;;;;;;;;19000;;;null;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;25.3;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
micaworld.com;Mica;MICA00000PCA;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
kubotekusa.com;Kubotek;7709;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
digitalmarketing-inc.com;Digital Marketing;DBMM;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
smartandfinal.com;Smart & Final;SGH;;;;;;;;;;;;;;;3000;;;1.34;5;Green;Green;Green;Green;Green;Green;2040;\n1.49%;1.0%;Yes;Yes;null;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
carecloud.com;CareCloud;CCLD;;;;;;;;;;;;;;;3600;;;-1.57;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
lgi.com;Liberty Global;LBTYA;;;;;;;;;;;;;;;9860;;;0.81;4;Green;Orange;Orange;Green;Green;Yellow;2050;\n5.44%;0.89%;Yes;Yes;2;No;No;No;No;No;No;No;No;No;No;No;No;Aligned;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;Yellow;;Orange;;;;;;;;;;;;;;
csgsys.com;CSG;CSGP;;;;;;;;;;;;;;;6152;;;null;5;Green;Green;Green;Green;Green;Green;;;;;;1.8;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;21.6;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
fairfax.ca;Fairfax Financial;FFH;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;1.5;No;No;No;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;;No;No;No;Yes;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
art.com;Art;ART;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;1.7;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;No;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
lyft.com;Lyft;LYFT;;;;;;;;;;;;;;;2945;;;-1.5;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;21.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
digikey.com;Digi-Key;0P0001K9H6;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
btol.com;Baker & Taylor;BKR;;;;;;;;;;;;;;;58000;;;1.62;7;Green;Yellow;Green;Green;Yellow;Green;2050;\n5.07%;0.91%;Yes;Yes;1.6;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;No;No;No;No;No;21.1;No;No;No;No;;;;;Yellow;;;;null;;;;;;;;;;;;;;;;;;;;
aia-itp.com;AIA;AIA;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;1.3;No;No;No;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;No;No;19.6;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
bobcat.com;Bobcat;241560;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2030;\n1.42%;0.96%;Yes;Yes;2;No;No;No;No;No;No;No;Aligned;No;No;No;Aligned;No;No;No;No;No;27.5;No;No;No;Yes;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
nimbuscloudapps.com;Nimbus;NIMU;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
levistrauss.com;Levi Strauss;LEVI;;;;;;;;;;;;;;;19100;;;2.97;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;13.6;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
creative.com;Creative;CREX;;;;;;;;;;;;;;;152;;;0.06;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
tvtechnology.com;TV Technology;2835;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
issys.co.uk;PADI;PADI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
clp.com;CLP;CLPS;;;;;;;;;;;;;;;3509;;;2.19;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
investec.com;Investec;INVP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;16;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
piperjaffray.com;Piper Jaffray & Co.;PIPR;;;;;;;;;;;;;;;1725;;;null;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;27.8;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
hoya.co.jp;Hoya;HOMZ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
datacolor.com;Datacolor;DCN;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
usefirefly.com;Firefly;FFC/BTC;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
huntoil.com;Hunt Oil;HOCh;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
arcadis.com;ARCADIS;ARDS;;;;;;;;;;;;;;;37;;;-40.16;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
cantor.com;Cantor Fitzgerald;FICHX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
snapon.com;Snap-on;SNA;;;;;;;;;;;;;;;13200;;;6.42;7;Green;Green;Green;Green;Green;Green;;;;;;1.4;No;No;No;No;No;No;No;No;No;Aligned;No;No;No;No;No;No;No;27.8;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
safran-group.com;Safran;SAF;;;;;;;;;;;;;;;null;;;null;null;Green;Yellow;Yellow;Green;Green;Green;2030;\n2.57%;0.88%;Yes;Yes;null;No;No;No;No;Aligned;No;No;Aligned;No;Aligned;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;Yellow;;;;;;;;;;;;;
finmeccanica.com;Finmeccanica;DESF2GCZ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
iheartmedia.com;iHeartMedia;IHRT;;;;;;;;;;;;;;;9180;;;-0.36;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;16.6;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
spirentcom.com;Spirent Communications;SPT;;;;;;;;;;;;;;;1383;;;3.28;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
franklininternational.com;Franklin International;FLIA;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
pulseinc.com;Pulse;PLSE;;;;;;;;;;;;;;;61;;;null;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;34.2;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
doosanelectronics.com;Doosan;34020;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2050;\n0.42%;1.13%;Yes;Yes;null;No;No;No;No;No;No;No;No;No;Aligned;No;No;No;No;No;No;No;32.3;No;No;No;Yes;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
deere.com;John Deere;AUDEC0722=;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
embarq.com;Embarq;US29078EAA38=TX;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
tricoproducts.com;Trico;TCBK;;;;;;;;;;;;;;;1231;;;null;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
gossinternational.com;Goss;GOSS;;;;;;;;;;;;;;;135;;;null;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
devry.com;DeVry;ATGE;;;;;;;;;;;;;;;9655;;;3.05;8;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;10.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
legacy.com;Legacy;LEGH;;;;;;;;;;;;;;;572;;;6.16;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;22.7;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
osi-systems.com;OSI Systems;OSIS;;;;;;;;;;;;;;;6423;;;3.35;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;15.5;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ads-pipe.com;Advanced Drainage;WMS;;;;;;;;;;;;;;;5870;;;6.39;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;26.5;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
amec-inc.com;AMEC;AMEC;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;1.8;No;No;No;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
energy-industries.com;Energy Industries;AEIS;;;;;;;;;;;;;;;10000;;;3.56;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;17.8;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
mksinst.com;MKS Instruments;MKSI;;;;;;;;;;;;;;;10200;;;0.87;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;11.6;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
eni.com;Eni S.P.A.;ENI;;;;;;;;;;;;;;;33142;;;1.7;7;Yellow;Orange;Yellow;Orange;Green;Yellow;2050;100.0%;-3.57%;Yes;Yes;1.9;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;28.7;No;No;No;No;;;;;;;;;null;;;;Yellow;;;;;Yellow;Yellow;Orange;Yellow;;Yellow;;;;;;
ais.co.th;Advanced Info Service;AVIFY;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
greyco.com;Greystone & Co.;GHI;;;;;;;;;;;;;;;1;;;null;5;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
biopharm.com;BioPharm;ABUS;;;;;;;;;;;;;;;73;;;-4.46;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;25.5;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
advanta.com;Advanta;ADV;;;;;;;;;;;;;;;70000;;;0.8;4;Green;Green;Green;Green;Green;Green;2030;99.38%;-0.15%;Yes;Yes;2;No;No;No;No;No;No;Aligned;No;Aligned;Aligned;No;Aligned;Aligned;No;No;Aligned;No;11.1;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
icbc.com;ICBC;CHNAb;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
vicon-cctv.com;Vicon Industries;VCON;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
advantech.net.au;Advantech;2395;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;2.8;No;No;No;No;No;No;No;Aligned;No;No;No;No;No;No;No;Aligned;No;19.2;No;Yes;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
elpolloloco.com;El Pollo Loco;LOCO;;;;;;;;;;;;;;;4362;;;1.51;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;29.7;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
inovio.com;Inovio;INO;;;;;;;;;;;;;;;122;;;-11.59;3;Green;Green;Green;Green;Green;Green;;;;;;2;No;No;No;No;No;No;No;Aligned;Aligned;No;Aligned;Aligned;No;No;No;Aligned;No;;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
incyte.com;Incyte;INCY;;;;;;;;;;;;;;;2524;;;5.8;5;Green;Green;Green;Green;Green;Green;;;;;;2.1;Aligned;No;Aligned;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
cosan.com.br;Cosan;CSAN;;;;;;;;;;;;;;;11181;;;0.98;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
dfs.com;DFS;DFS;;;;;;;;;;;;;;;21100;;;null;5;Green;Green;Green;Green;Green;Green;2030;\n1.81%;0.91%;Yes;Yes;1.3;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;No;No;No;No;No;13.1;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
coffeebean.com;International Coffee & Tea;HCEI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
avistacorp.com;Avista;AVA;;;;;;;;;;;;;;;1858;;;0.88;6;Green;Green;Green;Green;Green;Green;2025;\n2.04%;0.97%;Yes;Yes;3;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;No;No;No;No;No;;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
ucb.com;UCB;UCB;;;;;;;;;;;;;;;null;;;null;null;Green;Orange;Orange;Green;Green;Green;2050;100.0%;-3.41%;Yes;Yes;1.3;No;No;No;No;Aligned;Aligned;No;No;No;Aligned;No;Aligned;No;No;No;No;No;15.3;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;Orange;;;;;;
lloydstsb.com;Lloyds TSB;0P0000UCEJ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ametek.com;Ametek;AME;;;;;;;;;;;;;;;21500;;;5.73;6;Green;Green;Green;Green;Green;Green;;;;;;2.9;No;No;No;No;Aligned;No;No;No;No;No;No;No;Aligned;No;No;No;No;;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
ksbusa.com;KSB;KSB;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
mtb.com;M&T Bank;M;;;;;;;;;;;;;;;85581;;;2.44;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
kronostio2.com;Kronos Worldwide;KRO;;;;;;;;;;;;;;;2196;;;1.91;3;Green;Orange;Green;Green;Orange;Yellow;2030;\n8.13%;0.75%;Yes;Yes;3.6;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;Yes;Yes;;;;;Yellow;Yellow;Yellow;Orange;null;;;;Yellow;;;;;;;;;;;;;;;;
evolenthealth.com;Evolent Health;EVH;;;;;;;;;;;;;;;4700;;;1.49;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;21.5;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
advo.com;Advo;0P0000WH99;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
spiritair.com;Spirit Airlines;SAVE;;;;;;;;;;;;;;;13167;;;0.45;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;31.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
lifung.com;Li & Fung;LTC/USD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
aeci.org;AECI;AFEJ;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
heartland.org;Heartland;HTLD;;;;;;;;;;;;;;;6320;;;2.71;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;20.4;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
dcpgroup.com;DCP;DCP;;;;;;;;;;;;;;;14000;;;3.76;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
sasol.com;Sasol;SSL;;;;;;;;;;;;;;;29073;;;null;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;11.8;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ensr.com;ENSR;ENSRI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
unitedwater.com;United Water;603291;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
tritech.com;TriTech;TTGL;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
